order_id,order_date,customer_id,product_id,quantity,category,price,cost_price,region,registration_date
1001,2024-11-07,181,19,2,Books,154.99,113.73,South,2023-03-22
1002,2024-01-21,297,15,2,Clothing,94.45,225.93,North,2023-07-16
1003,2024-06-29,130,1,4,Home,337.85,186.37,North,2023-01-30
1004,2024-06-11,197,11,2,Home,138.65,142.03,North,2023-04-07
1005,2024-03-30,198,16,1,Clothing,42.74,204.7,Central,2023-04-08
1006,2024-08-25,111,18,2,Clothing,67.69,35.71,South,2023-01-11
1007,2024-05-29,273,20,2,Electronics,451.71,24.11,South,2023-06-22
1008,2024-04-13,147,9,3,Books,273.5,70.84,Central,2023-02-16
1009,2024-10-23,218,10,1,Home,207.04,192.52,East,2023-04-28
1010,2024-09-11,286,5,1,Electronics,343.85,48.44,South,2023-07-05
1011,2024-12-22,175,7,4,Electronics,14.26,64.74,East,2023-03-16
1012,2024-10-30,185,3,4,Clothing,233.52,130.05,North,2023-03-26
1013,2024-07-07,156,8,1,Home,78.29,80.58,Central,2023-02-25
1014,2024-05-15,133,10,1,Home,207.04,192.52,West,2023-02-02
1015,2024-06-21,252,2,1,Home,280.83,107.28,East,2023-06-01
1016,2024-09-21,252,18,1,Clothing,67.69,35.71,East,2023-06-01
1017,2024-02-12,256,6,2,Home,391.29,90.36,Central,2023-06-05
1018,2024-10-07,244,20,1,Electronics,451.71,24.11,East,2023-05-24
1019,2024-05-29,218,8,1,Home,78.29,80.58,East,2023-04-28
1020,2024-12-27,258,14,2,Clothing,116.84,214.71,South,2023-06-07
1021,2024-08-25,151,10,2,Home,207.04,192.52,South,2023-02-20
1022,2024-05-29,147,13,3,Electronics,135.18,159.25,Central,2023-02-16
1023,2024-03-07,276,15,2,Clothing,94.45,225.93,East,2023-06-25
1024,2024-04-08,208,1,3,Home,337.85,186.37,North,2023-04-18
1025,2024-09-15,283,11,1,Home,138.65,142.03,South,2023-07-02
1026,2024-02-26,246,17,2,Books,393.85,78.1,East,2023-05-26
1027,2024-10-02,266,6,1,Home,391.29,90.36,South,2023-06-15
1028,2024-12-25,101,8,2,Home,78.29,80.58,West,2023-01-01
1029,2024-12-10,181,17,2,Books,393.85,78.1,South,2023-03-22
1030,2024-01-02,191,15,3,Clothing,94.45,225.93,South,2023-04-01
1031,2024-07-25,179,6,1,Home,391.29,90.36,North,2023-03-20
1032,2024-08-12,246,14,2,Clothing,116.84,214.71,East,2023-05-26
1033,2024-05-26,139,15,2,Clothing,94.45,225.93,Central,2023-02-08
1034,2024-12-18,252,8,4,Home,78.29,80.58,East,2023-06-01
1035,2024-04-13,239,4,1,Home,179.65,172.49,Central,2023-05-19
1036,2024-06-13,286,3,2,Clothing,233.52,130.05,South,2023-07-05
1037,2024-07-25,121,4,2,Home,179.65,172.49,North,2023-01-21
1038,2024-09-28,141,9,4,Books,273.5,70.84,North,2023-02-10
1039,2024-01-21,286,3,4,Clothing,233.52,130.05,South,2023-07-05
1040,2024-05-02,256,4,1,Home,179.65,172.49,Central,2023-06-05
1041,2024-06-16,269,11,4,Home,138.65,142.03,Central,2023-06-18
1042,2024-02-18,264,8,2,Home,78.29,80.58,North,2023-06-13
1043,2024-03-16,286,15,1,Clothing,94.45,225.93,South,2023-07-05
1044,2024-09-21,246,8,3,Home,78.29,80.58,East,2023-05-26
